Elemento;Tipo ;Diámetro;Cantidad ;Longitud de barra (m);Peso de acero;Peso total (kg)
;;;;;;
Columna; C-1 ;;;;;
Columna; C-1 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-1 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-1 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-1 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";3;1.53; 0.56 kg/m ;2.56831
Columna; C-1 ;" 3/8"" ";3;1.57; 0.56 kg/m ;2.632546
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
Columna; C-1 ;" 3/8"" ";8;1.53; 0.56 kg/m ;6.848826
Columna; C-1 ;" 3/8"" ";8;1.31; 0.56 kg/m ;5.860747
Columna; C-1 ;" 3/8"" ";1;1.53; 0.56 kg/m ;0.856103
Columna; C-1 ;" 3/8"" ";1;1.31; 0.56 kg/m ;0.732593
