Elemento;Tipo;Diámetro;Cantidad;Longitud de barra (m);Peso de acero;Peso total (kg)
;;;;;;
Placa;Placa - 1;;;;;
Placa;Placa - 1;" 3/8"" ";1;2.1; 0.56 kg/m ;1.177873
Placa;Placa - 1;" 3/8"" ";5;2.1; 0.56 kg/m ;5.875365
Placa;Placa - 1;" 3/8"" ";27;6.1; 0.56 kg/m ;92.302652
Placa;Placa - 1;" 3/8"" ";27;6.18; 0.56 kg/m ;93.515843
Placa;Placa - 1;" 3/8"" ";27;7.4; 0.56 kg/m ;111.923318
Placa;Placa - 1;" 3/8"" ";27;4.89; 0.56 kg/m ;73.886827
Placa;Placa - 1;" 3/8"" ";46;1.65; 0.56 kg/m ;42.478395
Placa;Placa - 1;" 3/8"" ";46;1.63; 0.56 kg/m ;41.944061
Placa;Placa - 1;" 3/8"" ";46;1.65; 0.56 kg/m ;42.478395
Placa;Placa - 1;" 3/8"" ";46;1.63; 0.56 kg/m ;41.944061
Placa;Placa - 1;" 3/8"" ";46;10.4; 0.56 kg/m ;267.994474
Placa;Placa - 1;" 3/8"" ";46;10.4; 0.56 kg/m ;267.994474
Placa;Placa - 1;" 3/8"" ";20;1.4; 0.56 kg/m ;15.686522
Placa;Placa - 1;" 3/8"" ";20;1.4; 0.56 kg/m ;15.686522
Placa;Placa - 1;" 3/8"" ";20;1.2; 0.56 kg/m ;13.405351
Placa;Placa - 1;" 5/8"" ";3;5.45; 1.55 kg/m ;25.381899
Placa;Placa - 1;" 5/8"" ";3;5.45; 1.55 kg/m ;25.381899
Placa;Placa - 1;" 3/4"" ";4;6.19; 2.24 kg/m ;55.356975
Placa;Placa - 1;" 3/4"" ";4;6.7; 2.24 kg/m ;59.876243
Placa;Placa - 1;" 3/4"" ";4;5.4; 2.24 kg/m ;48.319717
Placa;Placa - 1;" 3/4"" ";4;7.6; 2.24 kg/m ;67.933614
Placa;Placa - 1;" 3/4"" ";4;6.63; 2.24 kg/m ;59.228096
Placa;Placa - 1;" 3/4"" ";4;7.53; 2.24 kg/m ;67.286495
Placa;Placa - 1;" 3/4"" ";4;6.19; 2.24 kg/m ;55.356975
Placa;Placa - 1;" 3/4"" ";4;5.4; 2.24 kg/m ;48.319717
Placa;Placa - 1: 25;;488;;;1,640.74
Placa;Placa - 2;;;;;
Placa;Placa - 2;" 3/8"" ";68;2.7; 0.56 kg/m ;102.703934
Placa;Placa - 2;" 3/8"" ";68;2.7; 0.56 kg/m ;102.703934
Placa;Placa - 2;" 3/8"" ";3;8.36; 0.56 kg/m ;14.048482
Placa;Placa - 2;" 3/8"" ";3;8.36; 0.56 kg/m ;14.044915
Placa;Placa - 2;" 3/8"" ";3;4.88; 0.56 kg/m ;8.206132
Placa;Placa - 2;" 3/8"" ";3;5.01; 0.56 kg/m ;8.410045
Placa;Placa - 2;" 3/8"" ";3;6.36; 0.56 kg/m ;10.682474
Placa;Placa - 2;" 3/8"" ";3;6.19; 0.56 kg/m ;10.396079
Placa;Placa - 2;" 3/8"" ";3;5.7; 0.56 kg/m ;9.578556
Placa;Placa - 2;" 3/8"" ";3;4.88; 0.56 kg/m ;8.203118
Placa;Placa - 2;" 3/8"" ";3;5; 0.56 kg/m ;8.407819
Placa;Placa - 2;" 3/8"" ";3;6.35; 0.56 kg/m ;10.67567
Placa;Placa - 2;" 3/8"" ";3;6.18; 0.56 kg/m ;10.388966
Placa;Placa - 2;" 3/8"" ";3;5.7; 0.56 kg/m ;9.584031
Placa;Placa - 2;" 3/8"" ";68;1.24; 0.56 kg/m ;47.353074
Placa;Placa - 2;" 3/8"" ";68;1.24; 0.56 kg/m ;47.353074
Placa;Placa - 2;" 3/8"" ";68;1.24; 0.56 kg/m ;47.353074
Placa;Placa - 2;" 3/8"" ";68;1.24; 0.56 kg/m ;47.353074
Placa;Placa - 2;" 3/4"" ";3;6.32; 2.24 kg/m ;42.365256
Placa;Placa - 2;" 3/4"" ";3;6.48; 2.24 kg/m ;43.471656
Placa;Placa - 2;" 3/4"" ";3;6.49; 2.24 kg/m ;43.492978
Placa;Placa - 2;" 3/4"" ";3;5.41; 2.24 kg/m ;36.307163
Placa;Placa - 2;" 3/4"" ";3;8.88; 2.24 kg/m ;59.536805
Placa;Placa - 2;" 3/4"" ";3;5.01; 2.24 kg/m ;33.559797
Placa;Placa - 2;" 3/4"" ";3;7.28; 2.24 kg/m ;48.810787
Placa;Placa - 2;" 3/4"" ";3;6.32; 2.24 kg/m ;42.380137
Placa;Placa - 2;" 3/4"" ";3;5.7; 2.24 kg/m ;38.197735
Placa;Placa - 2;" 3/4"" ";3;8.88; 2.24 kg/m ;59.550573
Placa;Placa - 2;" 3/4"" ";3;5.41; 2.24 kg/m ;36.287148
Placa;Placa - 2;" 3/4"" ";3;5.01; 2.24 kg/m ;33.606146
Placa;Placa - 2: 30;;480;;;1,035.01
Placa;Placa - 3;;;;;
Placa;Placa - 3;" 3/8"" ";6;8.37; 0.56 kg/m ;28.120158
Placa;Placa - 3;" 3/8"" ";6;4.88; 0.56 kg/m ;16.395057
