Tipo ;Nivel;Elemento;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
;;;;;;;
 Techo 1° Nivel ;;;;;;;
 Viga Chata ;;;;;;;
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.47;37; 0.56 kg/m ;30.496341
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.04;37; 0.56 kg/m ;42.253367
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.47;37; 0.56 kg/m ;30.468621
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.04;37; 0.56 kg/m ;42.253367
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.47;27; 0.56 kg/m ;22.221923
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.04;27; 0.56 kg/m ;30.833538
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.52;9; 0.56 kg/m ;7.680815
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.04;9; 0.56 kg/m ;10.279934
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.47;34; 0.56 kg/m ;27.954314
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.04;34; 0.56 kg/m ;38.896498
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.45;34; 0.56 kg/m ;27.673185
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.06;34; 0.56 kg/m ;39.151123
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";1.43;35; 0.56 kg/m ;28.042025
 Corte 7-7 ; SUP ; Viga Chata ;" 3/8"" ";2.08;35; 0.56 kg/m ;40.748863
 Corte 7-7 ; SUP ; Viga Chata ;" 3/4"" ";8.96;4; 2.24 kg/m ;80.077683
 Corte 7-7 ; SUP ; Viga Chata ;" 3/4"" ";4.94;4; 2.24 kg/m ;44.128864
