Elemento;Tipo;Diámetro;Cantidad;Longitud de barra (m);Peso de acero;Peso total (kg)
Columna;C-1;"3/4""";2;8.86;2.24 kg/m;39.60918
Columna;C-1;"3/4""";2;3;2.24 kg/m;13.40802
Columna;C-1;"3/4""";2;7.94;2.24 kg/m;35.491212
Columna;C-1;"3/4""";2;8.86;2.24 kg/m;39.611562
Columna;C-1;"3/4""";2;3;2.24 kg/m;13.40802
Columna;C-1;"3/4""";2;7.93;2.24 kg/m;35.456262
Columna;C-1;"3/8""";3;1.53;0.56 kg/m;2.56831
Columna;C-1;"3/8""";3;1.57;0.56 kg/m;2.632546
Columna;C-1;"3/8""";3;1.53;0.56 kg/m;2.56831
Columna;C-1;"3/8""";3;1.57;0.56 kg/m;2.632546
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.56;0.56 kg/m;0.871495
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.012251
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878007
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.02799
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878014
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.022212
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878138
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.01858
Columna;C-1;"3/8""";3;1.53;0.56 kg/m;2.56831
Columna;C-1;"3/8""";3;1.57;0.56 kg/m;2.634576
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878014
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.018188
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.856103
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.877996
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.019813
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.85776
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878613
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.863586
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.024796
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.857963
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878206
Columna;C-1;"3/8""";9;1.53;0.56 kg/m;7.720291
Columna;C-1;"3/8""";9;1.57;0.56 kg/m;7.903896
Columna;C-1;"3/8""";1;1.53;0.56 kg/m;0.857948
Columna;C-1;"3/8""";1;1.57;0.56 kg/m;0.878245
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.863585
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.026552
Columna;C-1;"3/8""";5;1.53;0.56 kg/m;4.288857
Columna;C-1;"3/8""";5;1.57;0.56 kg/m;4.391024
Columna;C-1;"3/8""";3;1.53;0.56 kg/m;2.573314
Columna;C-1;"3/8""";3;1.57;0.56 kg/m;2.635048
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.026421
Columna;C-1;"3/8""";8;1.53;0.56 kg/m;6.848826
Columna;C-1;"3/8""";8;1.57;0.56 kg/m;7.019123
Columna;C-1;"3/8""";5;1.53;0.56 kg/m;4.280516
Columna;C-1;"3/8""";5;1.57;0.56 kg/m;4.387985
Columna;C-1;"3/8""";6;1.53;0.56 kg/m;5.136619
Columna;C-1;"3/8""";6;1.57;0.56 kg/m;5.274812
Columna;C-1;"7.1""";2;9;3.40 kg/m;61.12881
Columna;C-1;"7.1""";2;2.96;3.40 kg/m;20.095687
Columna;C-1;"7.1""";2;9;3.40 kg/m;61.13915
Columna;C-1;"7.1""";3;9;3.40 kg/m;91.693215
Columna;C-1;"7.1""";3;2.96;3.40 kg/m;30.141032
Columna;C-1;"7.1""";3;9;3.40 kg/m;91.707416
Columna;C-1;"7.1""";2;9;3.40 kg/m;61.12881
Columna;C-1;"7.1""";2;2.96;3.40 kg/m;20.095687
Columna;C-1;"7.1""";2;9;3.40 kg/m;61.13915
Columna;C-1;"7.1""";3;9;3.40 kg/m;91.693215
Columna;C-1;"7.1""";3;2.94;3.40 kg/m;29.959957
Columna;C-1;"7.1""";3;9;3.40 kg/m;91.707416
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.73;2.24 kg/m;34.558474
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.73;2.24 kg/m;34.557179
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;6;2.24 kg/m;26.815463
Columna;C-2;"3/4""";2;7.73;2.24 kg/m;34.558474
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.660388
Columna;C-2;"3/4""";2;7.73;2.24 kg/m;34.557179
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.97;2.24 kg/m;26.686343
Columna;C-2;"3/4""";2;7.89;2.24 kg/m;35.275015
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.660388
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.65965
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;5.96;2.24 kg/m;26.661067
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;7.33;2.24 kg/m;32.7623
Columna;C-2;"3/4""";2;2.83;2.24 kg/m;12.664326
Columna;C-2;"3/4""";2;7.34;2.24 kg/m;32.78815
Columna;C-2;"3/4""";2;7.89;2.24 kg/m;35.273947
Columna;C-2;"3/8""";6;1.54;0.56 kg/m;5.161229
Columna;C-2;"3/8""";6;1.54;0.56 kg/m;5.161229
Columna;C-2;"3/8""";6;1.58;0.56 kg/m;5.296985
Columna;C-2;"3/8""";6;1.58;0.56 kg/m;5.296985
Columna;C-2;"3/8""";5;1.53;0.56 kg/m;4.280516
Columna;C-2;"3/8""";1;1.31;0.56 kg/m;0.732593
Columna;C-2;"3/8""";5;1.31;0.56 kg/m;3.662967
Columna;C-2;"3/8""";6;1.54;0.56 kg/m;5.161229
Columna;C-2;"3/8""";6;1.54;0.56 kg/m;5.161229
Columna;C-2;"3/8""";3;1.58;0.56 kg/m;2.648492
Columna;C-2;"3/8""";3;1.49;0.56 kg/m;2.49818
Columna;C-2;"3/8""";3;1.58;0.56 kg/m;2.648355
Columna;C-2;"3/8""";3;1.58;0.56 kg/m;2.648492
