Elemento;Tipo;Diámetro;Cantidad;Longitud de barra (m);Peso de acero;Peso total (kg)
Placa;Placa - 1;"3/4""";4;9;2.24 kg/m;80.451217
Placa;Placa - 1;"3/4""";4;4.18;2.24 kg/m;37.347652
Placa;Placa - 1;"3/4""";4;9;2.24 kg/m;80.451217
Placa;Placa - 1;"3/4""";4;4.18;2.24 kg/m;37.347652
Placa;Placa - 1;"3/4""";4;9;2.24 kg/m;80.451217
Placa;Placa - 1;"3/4""";4;4.18;2.24 kg/m;37.347652
Placa;Placa - 1;"3/4""";4;9;2.24 kg/m;80.451217
Placa;Placa - 1;"3/4""";4;4.18;2.24 kg/m;37.34739
Placa;Placa - 1;"3/8""";1;2.1;0.56 kg/m;1.177873
Placa;Placa - 1;"3/8""";5;2.1;0.56 kg/m;5.875365
Placa;Placa - 1;"3/8""";27;9;0.56 kg/m;136.041225
Placa;Placa - 1;"3/8""";27;3.25;0.56 kg/m;49.175076
Placa;Placa - 1;"3/8""";46;1.65;0.56 kg/m;42.478395
Placa;Placa - 1;"3/8""";46;1.63;0.56 kg/m;41.944061
Placa;Placa - 1;"3/8""";46;1.65;0.56 kg/m;42.478395
Placa;Placa - 1;"3/8""";46;1.63;0.56 kg/m;41.944061
Placa;Placa - 1;"3/8""";46;1.8;0.56 kg/m;46.329959
Placa;Placa - 1;"3/8""";46;9;0.56 kg/m;231.839716
Placa;Placa - 1;"3/8""";20;1.4;0.56 kg/m;15.686522
Placa;Placa - 1;"3/8""";20;1.97;0.56 kg/m;22.010773
Placa;Placa - 1;"3/8""";46;1.8;0.56 kg/m;46.329959
Placa;Placa - 1;"3/8""";46;9;0.56 kg/m;231.839716
Placa;Placa - 1;"3/8""";27;9;0.56 kg/m;136.041225
Placa;Placa - 1;"3/8""";27;3.25;0.56 kg/m;49.175076
Placa;Placa - 1;"5/8""";3;5.52;1.55 kg/m;25.709894
Placa;Placa - 1;"5/8""";3;5.52;1.55 kg/m;25.709894
Placa;Placa - 2;"3/4""";3;9;2.24 kg/m;60.335255
Placa;Placa - 2;"3/4""";3;2.69;2.24 kg/m;18.026968
Placa;Placa - 2;"3/4""";3;8.19;2.24 kg/m;54.898632
Placa;Placa - 2;"3/4""";3;9;2.24 kg/m;60.335255
Placa;Placa - 2;"3/4""";3;2.69;2.24 kg/m;18.026968
Placa;Placa - 2;"3/4""";3;8.19;2.24 kg/m;54.898632
Placa;Placa - 2;"3/4""";3;9;2.24 kg/m;60.335255
Placa;Placa - 2;"3/4""";3;2.69;2.24 kg/m;18.026968
Placa;Placa - 2;"3/4""";3;8.19;2.24 kg/m;54.898632
Placa;Placa - 2;"3/4""";3;9;2.24 kg/m;60.335255
Placa;Placa - 2;"3/4""";3;2.69;2.24 kg/m;18.026968
Placa;Placa - 2;"3/4""";3;8.19;2.24 kg/m;54.898632
Placa;Placa - 2;"3/8""";68;2.59;0.56 kg/m;98.538431
Placa;Placa - 2;"3/8""";68;2.59;0.56 kg/m;98.586262
Placa;Placa - 2;"3/8""";7;8.91;0.56 kg/m;34.912609
Placa;Placa - 2;"3/8""";7;9;0.56 kg/m;35.279243
Placa;Placa - 2;"3/8""";68;1.17;0.56 kg/m;44.532615
Placa;Placa - 2;"3/8""";68;1.17;0.56 kg/m;44.528674
Placa;Placa - 2;"3/8""";68;1.17;0.56 kg/m;44.532615
