Elemento;Tipo;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
Viga;Corte 7-7;"3/8""";1.47;37;0.56 kg/m;30.496341
Viga;Corte 7-7;"3/8""";2.04;37;0.56 kg/m;42.253367
Viga;Corte 7-7;"3/8""";1.47;37;0.56 kg/m;30.468621
Viga;Corte 7-7;"3/8""";2.04;37;0.56 kg/m;42.253367
Viga;Corte 7-7;"3/8""";1.47;27;0.56 kg/m;22.221923
Viga;Corte 7-7;"3/8""";2.04;27;0.56 kg/m;30.833538
Viga;Corte 7-7;"3/8""";1.52;9;0.56 kg/m;7.680815
Viga;Corte 7-7;"3/8""";2.04;9;0.56 kg/m;10.279934
Viga;Corte 7-7;"3/8""";1.47;34;0.56 kg/m;27.954314
Viga;Corte 7-7;"3/8""";2.04;34;0.56 kg/m;38.896498
Viga;Corte 7-7;"3/8""";1.45;34;0.56 kg/m;27.673185
Viga;Corte 7-7;"3/8""";2.06;34;0.56 kg/m;39.151123
Viga;Corte 7-7;"3/8""";1.43;35;0.56 kg/m;28.042025
Viga;Corte 7-7;"3/8""";2.08;35;0.56 kg/m;40.748863
Viga;Corte 7-7;"6.3/4""";8.96;4;2.24 kg/m;80.077683
Viga;Corte 7-7;"6.3/4""";4.5;4;2.24 kg/m;40.202293
Viga;Corte 7-7;"6.3/4""";2.99;4;2.24 kg/m;26.717259
Viga;Corte 7-7;"6.3/4""";7.54;4;2.24 kg/m;67.403361
Viga;Corte 7-7;"6.3/4""";7.59;4;2.24 kg/m;67.840657
Viga;Corte 7-7;"6.3/4""";7.02;4;2.24 kg/m;62.783765
Viga;Corte 7-7;"6.3/4""";8.96;1;2.24 kg/m;20.019421
Viga;Corte 7-7;"6.3/4""";4.5;1;2.24 kg/m;10.055979
Viga;Corte 7-7;"6.3/4""";7.01;1;2.24 kg/m;15.673319
Viga;Corte 7-7;"6.3/4""";7.54;1;2.24 kg/m;16.85084
Viga;Corte 7-7;"6.3/4""";7.6;1;2.24 kg/m;16.983397
Viga;Corte 7-7;"6.3/4""";2.99;1;2.24 kg/m;6.681981
Viga;Corte 7-7;"6.3/4""";2.21;1;2.24 kg/m;4.930301
Viga;Corte 7-7;"6.3/4""";2.23;2;2.24 kg/m;9.96901
Viga;Corte 7-7;"6.3/4""";8.96;4;2.24 kg/m;80.077683
Viga;Corte 7-7;"6.3/4""";4.5;4;2.24 kg/m;40.214322
Viga;Corte 7-7;"6.3/4""";8.74;4;2.24 kg/m;78.117943
Viga;Corte 7-7;"6.3/4""";5.13;5;2.24 kg/m;57.276465
Viga;Corte 7-7;"6.3/4""";8.96;1;2.24 kg/m;20.019421
Viga;Corte 7-7;"6.3/4""";4.49;1;2.24 kg/m;10.043448
Viga;Corte 7-7;"6.3/4""";5.12;1;2.24 kg/m;11.441991
Viga;Corte 7-7;"6.3/4""";8.71;1;2.24 kg/m;19.460776
Viga;Corte 7-7;"6.3/4""";7.98;1;2.24 kg/m;17.838753
Viga;Corte 7-7;"6.3/4""";8.41;4;2.24 kg/m;75.218032
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"1/4""";0.94;3;0.22 kg/m;0.627511
Viga;Corte 9-9;"1/4""";0.94;5;0.22 kg/m;1.045851
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 9-9;"3.1/2""";1.88;2;0.99 kg/m;3.727967
Viga;Corte 2-2;"3/8""";2.05;9;0.56 kg/m;10.323046
Viga;Corte 2-2;"3/8""";2.04;13;0.56 kg/m;14.841857
Viga;Corte 2-2;"3/8""";2.04;13;0.56 kg/m;14.841857
Viga;Corte 2-2;"6.3/4""";2.58;2;2.24 kg/m;11.518546
Viga;Corte 2-2;"6.3/4""";2.57;2;2.24 kg/m;11.503548
Viga;Corte 2-2;"6.3/4""";6.46;2;2.24 kg/m;28.893509
Viga;Corte 2-2;"6.3/4""";6.47;2;2.24 kg/m;28.904096
Viga;Corte 3-3;"3/8""";2.05;20;0.56 kg/m;22.960905
Viga;Corte 3-3;"3/8""";2.05;20;0.56 kg/m;22.960905
Viga;Corte 3-3;"3/8""";2.05;10;0.56 kg/m;11.480453
Viga;Corte 3-3;"3/8""";2.05;10;0.56 kg/m;11.480453
Viga;Corte 3-3;"3/8""";2.05;6;0.56 kg/m;6.893413
Viga;Corte 3-3;"3/8""";2.04;16;0.56 kg/m;18.273423
Viga;Corte 3-3;"3/8""";2.04;16;0.56 kg/m;18.273423
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.508992
Viga;Corte 3-3;"6.3/4""";3.92;2;2.24 kg/m;17.537703
Viga;Corte 3-3;"6.3/4""";5.81;2;2.24 kg/m;25.956687
Viga;Corte 3-3;"6.3/4""";5.81;2;2.24 kg/m;25.966257
Viga;Corte 3-3;"6.3/4""";3.7;2;2.24 kg/m;16.559279
Viga;Corte 3-3;"6.3/4""";3.71;2;2.24 kg/m;16.566598
Viga;Corte 3-3;"6.3/4""";3.7;2;2.24 kg/m;16.559279
Viga;Corte 3-3;"6.3/4""";3.71;2;2.24 kg/m;16.566598
Viga;Corte 5-5;"3/8""";1.87;15;0.56 kg/m;15.749306
Viga;Corte 5-5;"3/8""";1.87;11;0.56 kg/m;11.549473
Viga;Corte 5-5;"5/8""";4.8;2;1.55 kg/m;14.894512
Viga;Corte 5-5;"5/8""";4.8;2;1.55 kg/m;14.899824
Viga;V-1;"3/8""";2.05;10;0.56 kg/m;11.480453
Viga;V-1;"3/8""";2.05;10;0.56 kg/m;11.480453
Viga;V-1;"3/8""";2.05;10;0.56 kg/m;11.494168
Viga;V-1;"6.3/4""";6.38;2;2.24 kg/m;28.499863
Viga;V-1;"6.3/4""";6.4;2;2.24 kg/m;28.618138
Viga;V-1;"6.3/4""";3.96;1;2.24 kg/m;8.84718
Viga;V-2;"3/8""";2.07;10;0.56 kg/m;11.606326
Viga;V-2;"3/8""";2.07;10;0.56 kg/m;11.606326
Viga;V-2;"3/8""";2.09;14;0.56 kg/m;16.363828
Viga;V-2;"6.3/4""";7.49;2;2.24 kg/m;33.471069
Viga;V-2;"6.3/4""";7.49;2;2.24 kg/m;33.486279
Viga;V-2;"6.3/4""";4.67;2;2.24 kg/m;20.854179
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;10;0.56 kg/m;11.344535
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;10;0.56 kg/m;11.344121
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
Viga;V-3;"3/8""";2.03;9;0.56 kg/m;10.222491
